Domain,System,Observable,Value,Uncertainty,Unit,H_equivalent,D_equivalent,Source,DOI,Notes
Geology,Pareidolia_rocks,Fractal_dimension,1.21,0.05,dimensionless,0.79,1.21,This_study,,Median of 15 pareidolic images
Geology,Control_rocks,Fractal_dimension,1.34,0.05,dimensionless,0.66,1.34,This_study,,Median of 15 control images
Geology,Coastlines,Fractal_dimension,1.25,0.10,dimensionless,0.75,1.25,Mandelbrot_1982,,Classic measurement
Geology,Cloud_perimeters,Fractal_dimension,1.35,0.05,dimensionless,0.65,1.35,Lovejoy_1982,10.1126/science.216.4542.185,
Neuroscience,EEG_alpha,Hurst_exponent,0.65,0.05,dimensionless,0.65,1.35,Linkenkaer_Hansen_2001,10.1523/JNEUROSCI.21-04-01370.2001,Resting state
Neuroscience,MEG_resting,Hurst_exponent,0.68,0.08,dimensionless,0.68,1.32,Various,,Meta-analysis range
Neuroscience,Neuronal_avalanches,Power_law_exponent,1.5,0.1,dimensionless,0.67,1.33,Beggs_Plenz_2003,10.1523/JNEUROSCI.23-35-11167.2003,Size distribution
Finance,TSE_price_impact,Square_root_exponent,0.5,0.02,dimensionless,0.50,1.50,Sato_Kanazawa_2025,10.1103/65jz-81kv,Universal across all stocks
Finance,Bitcoin_volatility,Hurst_exponent,0.62,0.05,dimensionless,0.62,1.38,LRD_v6.0.1,10.5281/zenodo.18018292,
Cosmology,CMB_contours,Fractal_dimension,1.30,0.05,dimensionless,0.70,1.30,Kobayashi_2011,10.7566/JPSJ.80.023001,Temperature fluctuations
Cosmology,Galaxy_distribution,Fractal_dimension,1.20,0.20,dimensionless,0.80,1.20,Various,,Scale-dependent; debated
Physiology,HRV_healthy,Hurst_exponent,0.75,0.10,dimensionless,0.75,1.25,Peng_1995,10.1063/1.166141,Normal sinus rhythm
Physiology,HRV_CHF,Hurst_exponent,0.55,0.10,dimensionless,0.55,1.45,PhysioNet,10.13026/C2F598,Congestive heart failure
Physiology,Gait_healthy,Hurst_exponent,0.70,0.08,dimensionless,0.70,1.30,Hausdorff_1996,,Stride interval fluctuations
Biology,Vascular_networks,Fractal_dimension,1.70,0.10,dimensionless,0.30,1.70,Various,,2D projection
Biology,Lung_airways,Fractal_dimension,1.57,0.05,dimensionless,0.43,1.57,Various,,Branching structure
Earthquakes,Aftershock_sequences,Hurst_exponent,0.68,0.08,dimensionless,0.68,1.32,LRD_v6.0.1,10.5281/zenodo.18018292,Interevent times
Genomics,DNA_walks,Hurst_exponent,0.60,0.10,dimensionless,0.60,1.40,Peng_1992,,CG content fluctuations
Art,Pollock_drip_paintings,Fractal_dimension,1.30,0.10,dimensionless,0.70,1.30,Taylor_2017,10.1038/srep42375,Aesthetic preference peak
Perception,Pareidolia_peak,Fractal_dimension,1.28,0.05,dimensionless,0.72,1.28,This_study,,Maximum recognition rate
Attractor,Universal_Fractal_Attractor,Fractal_dimension,1.30,0.05,dimensionless,0.70,1.30,Theory,,Hypothesized optimal point
